SEF	1.0.0
ID	STRASBOURG_PORTE_DE_L_ILL
Name	STRASBOURG_PORTE_DE_L_ILL
Lat	48.5817
Lon	7.7683
Alt	139.0
Source	Meteo-France
Link	
Vbl	p
Stat	point
Units	hPa
Meta	PTC=?|PGC=?|MF Station number 67482010|Department 67
Year	Month	Day	Hour	Minute	Period	Value	Meta
1911	8	29	0	0	0	1000.60	 
1911	8	29	3	0	0	1000.60	 
1911	8	29	6	0	0	1001.00	 
1911	8	29	9	0	0	1001.80	 
1911	8	29	12	0	0	1001.60	 
1911	8	29	14	0	0	1001.90	 
1911	8	29	15	0	0	1002.00	 
1911	8	29	18	0	0	1003.50	 
1911	8	29	21	0	0	1004.30	 
1911	8	30	0	0	0	1004.80	 
1911	8	30	3	0	0	1004.00	 
1911	8	30	6	0	0	1004.70	 
1911	8	30	9	0	0	1005.00	 
1911	8	30	12	0	0	1004.30	 
1911	8	30	14	0	0	1003.80	 
1911	8	30	15	0	0	1003.50	 
1911	8	30	18	0	0	1003.90	 
1911	8	30	21	0	0	1006.20	 
1911	8	31	0	0	0	1005.90	 
1911	8	31	3	0	0	1006.60	 
1911	8	31	6	0	0	1007.00	 
1911	8	31	9	0	0	1007.80	 
1911	8	31	12	0	0	1007.60	 
1911	8	31	14	0	0	1007.70	 
1911	8	31	15	0	0	1007.20	 
1911	8	31	18	0	0	1007.00	 
1911	8	31	21	0	0	1007.50	 
1911	9	1	0	0	0	1007.50	 
1911	9	1	3	0	0	1007.40	 
1911	9	1	6	0	0	1008.30	 
1911	9	1	9	0	0	1008.70	 
1911	9	1	12	0	0	1007.60	 
1911	9	1	14	0	0	1006.70	 
1911	9	1	15	0	0	1006.60	 
1911	9	1	18	0	0	1005.90	 
1911	9	1	21	0	0	1006.00	 
1911	9	2	0	0	0	1006.00	 
1911	9	2	3	0	0	1006.30	 
1911	9	2	6	0	0	1007.20	 
1911	9	2	9	0	0	1007.60	 
1911	9	2	12	0	0	1007.00	 
1911	9	2	14	0	0	1006.10	 
1911	9	2	15	0	0	1005.90	 
1911	9	2	18	0	0	1005.80	 
1911	9	2	21	0	0	1006.70	 
1911	9	3	0	0	0	1006.80	 
1911	9	3	3	0	0	1006.70	 
1911	9	3	6	0	0	1007.20	 
1911	9	3	9	0	0	1007.50	 
1911	9	3	12	0	0	1006.40	 
1911	9	3	14	0	0	1005.90	 
1911	9	3	15	0	0	1005.40	 
1911	9	3	18	0	0	1005.10	 
1911	9	3	21	0	0	1005.80	 
1911	9	4	0	0	0	1006.30	 
1911	9	4	3	0	0	1006.20	 
1911	9	4	6	0	0	1007.00	 
1911	9	4	9	0	0	1007.90	 
1911	9	4	12	0	0	1007.00	 
1911	9	4	14	0	0	1006.20	 
1911	9	4	15	0	0	1005.60	 
1911	9	4	18	0	0	1005.60	 
1911	9	4	21	0	0	1006.80	 
1911	9	5	0	0	0	1006.00	 
1911	9	5	3	0	0	1005.80	 
1911	9	5	6	0	0	1006.20	 
1911	9	5	9	0	0	1006.80	 
1911	9	5	12	0	0	1005.50	 
1911	9	5	14	0	0	1004.10	 
1911	9	5	15	0	0	1003.60	 
1911	9	5	18	0	0	1003.00	 
1911	9	5	21	0	0	1004.40	 
1911	9	6	0	0	0	1005.80	 
1911	9	6	3	0	0	1005.80	 
1911	9	6	6	0	0	1007.10	 
1911	9	6	9	0	0	1007.90	 
1911	9	6	12	0	0	1007.20	 
1911	9	6	14	0	0	1006.20	 
1911	9	6	15	0	0	1005.90	 
1911	9	6	18	0	0	1005.60	 
1911	9	6	21	0	0	1006.60	 
1911	9	7	0	0	0	1007.10	 
1911	9	7	3	0	0	1007.00	 
1911	9	7	6	0	0	1007.20	 
1911	9	7	9	0	0	1007.50	 
1911	9	7	12	0	0	1006.30	 
1911	9	7	14	0	0	1005.10	 
1911	9	7	15	0	0	1004.80	 
1911	9	7	18	0	0	1003.90	 
1911	9	7	21	0	0	1004.40	 
1911	9	8	0	0	0	1004.40	 
1911	9	8	3	0	0	1003.60	 
1911	9	8	6	0	0	1003.50	 
1911	9	8	9	0	0	1003.50	 
1911	9	8	12	0	0	1002.00	 
1911	9	8	14	0	0	1000.60	 
1911	9	8	15	0	0	1000.00	 
1911	9	8	18	0	0	998.80	 
1911	9	8	21	0	0	999.10	 
1911	9	9	0	0	0	999.10	 
1911	9	9	3	0	0	998.20	 
1911	9	9	6	0	0	998.00	 
1911	9	9	9	0	0	998.60	 
1911	9	9	12	0	0	998.00	 
1911	9	9	14	0	0	997.30	 
1911	9	9	15	0	0	996.60	 
1911	9	9	18	0	0	995.10	 
1911	9	9	21	0	0	995.20	 
1911	9	10	0	0	0	995.50	 
1911	9	10	3	0	0	997.60	 
1911	9	10	6	0	0	1000.70	 
1911	9	10	9	0	0	1003.50	 
1911	9	10	12	0	0	1003.80	 
1911	9	10	14	0	0	1003.40	 
1911	9	10	15	0	0	1003.20	 
1911	9	10	18	0	0	1002.80	 
1911	9	10	21	0	0	1003.90	 
1911	9	11	0	0	0	1004.00	 
1911	9	11	3	0	0	1003.50	 
1911	9	11	6	0	0	1003.40	 
1911	9	11	9	0	0	1003.80	 
1911	9	11	12	0	0	1002.20	 
1911	9	11	14	0	0	1000.90	 
1911	9	11	15	0	0	1000.60	 
1911	9	11	18	0	0	1000.20	 
1911	9	11	21	0	0	1000.80	 
1911	9	12	0	0	0	1001.50	 
1911	9	12	3	0	0	1002.30	 
1911	9	12	6	0	0	1003.40	 
1911	9	12	9	0	0	1003.60	 
1911	9	12	12	0	0	1002.60	 
1911	9	12	14	0	0	1001.00	 
1911	9	12	15	0	0	1000.30	 
1911	9	12	18	0	0	999.80	 
1911	9	12	21	0	0	1000.20	 
1911	9	13	0	0	0	1000.40	 
1911	9	13	3	0	0	1000.60	 
1911	9	13	6	0	0	1001.20	 
1911	9	13	9	0	0	1002.20	 
1911	9	13	12	0	0	1001.50	 
1911	9	13	14	0	0	1000.70	 
1911	9	13	15	0	0	1000.20	 
1911	9	13	18	0	0	999.90	 
1911	9	13	21	0	0	1001.10	 
1911	9	14	0	0	0	1000.60	 
1911	9	14	3	0	0	999.80	 
1911	9	14	6	0	0	999.80	 
1911	9	14	9	0	0	999.60	 
1911	9	14	12	0	0	997.80	 
1911	9	14	14	0	0	996.20	 
1911	9	14	15	0	0	995.50	 
1911	9	14	18	0	0	994.40	 
1911	9	14	21	0	0	995.10	 
1911	9	15	0	0	0	995.00	 
1911	9	15	3	0	0	995.00	 
1911	9	15	6	0	0	995.50	 
1911	9	15	9	0	0	996.00	 
1911	9	15	12	0	0	996.30	 
1911	9	15	14	0	0	996.50	 
1911	9	15	15	0	0	996.80	 
1911	9	15	18	0	0	998.40	 
1911	9	15	21	0	0	1000.00	 
1911	9	16	0	0	0	1000.30	 
1911	9	16	3	0	0	1001.20	 
1911	9	16	6	0	0	1001.80	 
1911	9	16	9	0	0	1003.00	 
1911	9	16	12	0	0	1002.40	 
1911	9	16	14	0	0	1001.70	 
1911	9	16	15	0	0	1001.80	 
1911	9	16	18	0	0	1002.30	 
1911	9	16	21	0	0	1003.00	 
1911	9	17	0	0	0	1003.10	 
1911	9	17	3	0	0	1003.60	 
1911	9	17	6	0	0	1004.30	 
1911	9	17	9	0	0	1005.50	 
1911	9	17	12	0	0	1005.20	 
1911	9	17	14	0	0	1005.40	 
1911	9	17	15	0	0	1005.40	 
1911	9	17	18	0	0	1005.50	 
1911	9	17	21	0	0	1006.80	 
1911	9	18	0	0	0	1007.90	 
1911	9	18	3	0	0	1008.60	 
1911	9	18	6	0	0	1009.90	 
1911	9	18	9	0	0	1011.20	 
1911	9	18	12	0	0	1010.60	 
1911	9	18	14	0	0	1009.70	 
1911	9	18	15	0	0	1009.50	 
1911	9	18	18	0	0	1008.60	 
1911	9	18	21	0	0	1008.70	 
1911	9	19	0	0	0	1008.40	 
1911	9	19	3	0	0	1008.20	 
1911	9	19	6	0	0	1007.40	 
1911	9	19	9	0	0	1006.80	 
1911	9	19	12	0	0	1004.40	 
1911	9	19	14	0	0	1002.10	 
1911	9	19	15	0	0	1001.40	 
1911	9	19	18	0	0	1000.00	 
1911	9	19	21	0	0	1000.00	 
1911	9	20	0	0	0	999.40	 
1911	9	20	3	0	0	998.60	 
1911	9	20	6	0	0	997.60	 
1911	9	20	9	0	0	997.10	 
1911	9	20	12	0	0	995.00	 
1911	9	20	14	0	0	993.30	 
1911	9	20	15	0	0	991.60	 
1911	9	20	18	0	0	989.90	 
1911	9	20	21	0	0	989.40	 
1911	9	21	0	0	0	989.10	 
1911	9	21	3	0	0	987.80	 
1911	9	21	6	0	0	986.00	 
1911	9	21	9	0	0	986.70	 
1911	9	21	12	0	0	988.40	 
1911	9	21	14	0	0	988.30	 
1911	9	21	15	0	0	989.00	 
1911	9	21	18	0	0	989.90	 
1911	9	21	21	0	0	990.80	 
1911	9	22	0	0	0	991.10	 
1911	9	22	3	0	0	991.00	 
1911	9	22	6	0	0	992.00	 
1911	9	22	9	0	0	993.00	 
1911	9	22	12	0	0	993.20	 
1911	9	22	14	0	0	993.30	 
1911	9	22	15	0	0	993.40	 
1911	9	22	18	0	0	994.20	 
1911	9	22	21	0	0	995.00	 
1911	9	23	0	0	0	994.80	 
1911	9	23	3	0	0	994.60	 
1911	9	23	6	0	0	994.00	 
1911	9	23	9	0	0	994.00	 
1911	9	23	12	0	0	993.00	 
1911	9	23	14	0	0	992.20	 
1911	9	23	15	0	0	992.20	 
1911	9	23	18	0	0	993.00	 
1911	9	23	21	0	0	993.80	 
1911	9	24	0	0	0	994.70	 
1911	9	24	3	0	0	995.00	 
1911	9	24	6	0	0	996.30	 
1911	9	24	9	0	0	997.60	 
1911	9	24	12	0	0	998.60	 
1911	9	24	14	0	0	999.00	 
1911	9	24	15	0	0	999.40	 
1911	9	24	18	0	0	999.80	 
1911	9	24	21	0	0	1001.60	 
1911	9	25	0	0	0	1002.70	 
1911	9	25	3	0	0	1002.70	 
1911	9	25	6	0	0	1003.90	 
1911	9	25	9	0	0	1004.70	 
1911	9	25	12	0	0	1005.40	 
1911	9	25	14	0	0	1006.10	 
1911	9	25	15	0	0	1005.90	 
1911	9	25	18	0	0	1006.00	 
1911	9	25	21	0	0	1006.40	 
1911	9	26	0	0	0	1006.60	 
1911	9	26	3	0	0	1007.00	 
1911	9	26	6	0	0	1007.50	 
1911	9	26	9	0	0	1008.30	 
1911	9	26	12	0	0	1008.80	 
1911	9	26	14	0	0	1008.10	 
1911	9	26	15	0	0	1007.90	 
1911	9	26	18	0	0	1007.90	 
1911	9	26	21	0	0	1007.90	 
1911	9	27	0	0	0	1008.00	 
1911	9	27	3	0	0	1008.00	 
1911	9	27	6	0	0	1008.20	 
1911	9	27	9	0	0	1009.00	 
1911	9	27	12	0	0	1008.00	 
1911	9	27	14	0	0	1007.40	 
1911	9	27	15	0	0	1007.10	 
1911	9	27	18	0	0	1007.20	 
1911	9	27	21	0	0	1008.00	 
1911	9	28	0	0	0	1007.50	 
1911	9	28	3	0	0	1006.60	 
1911	9	28	6	0	0	1006.70	 
1911	9	28	9	0	0	1007.20	 
1911	9	28	12	0	0	1006.60	 
1911	9	28	14	0	0	1006.60	 
1911	9	28	15	0	0	1006.60	 
1911	9	28	18	0	0	1006.60	 
1911	9	28	21	0	0	1007.10	 
1911	9	29	0	0	0	1006.60	 
1911	9	29	3	0	0	1006.00	 
1911	9	29	6	0	0	1005.00	 
1911	9	29	9	0	0	1004.70	 
1911	9	29	12	0	0	1003.90	 
1911	9	29	14	0	0	1004.20	 
1911	9	29	15	0	0	1004.30	 
1911	9	29	18	0	0	1006.00	 
1911	9	29	21	0	0	1007.10	 
1911	9	30	0	0	0	1007.10	 
1911	9	30	3	0	0	1005.50	 
1911	9	30	6	0	0	1003.60	 
1911	9	30	9	0	0	1002.30	 
1911	9	30	12	0	0	999.50	 
1911	9	30	14	0	0	995.80	 
1911	9	30	15	0	0	994.60	 
1911	9	30	18	0	0	991.10	 
1911	9	30	21	0	0	988.80	 
1911	10	1	0	0	0	988.60	 
1911	10	1	3	0	0	987.50	 
1911	10	1	6	0	0	988.70	 
1911	10	1	9	0	0	990.20	 
1911	10	1	12	0	0	991.60	 
1911	10	1	14	0	0	992.90	 
1911	10	1	15	0	0	992.80	 
1911	10	1	18	0	0	994.60	 
1911	10	1	21	0	0	996.00	 
1911	10	2	0	0	0	997.10	 
1911	10	2	3	0	0	997.40	 
1911	10	2	6	0	0	997.50	 
1911	10	2	9	0	0	998.20	 
1911	10	2	12	0	0	997.10	 
1911	10	2	14	0	0	996.70	 
1911	10	2	15	0	0	996.60	 
1911	10	2	18	0	0	996.40	 
1911	10	2	21	0	0	997.10	 
1911	10	3	0	0	0	997.10	 
1911	10	3	3	0	0	996.70	 
1911	10	3	6	0	0	996.60	 
1911	10	3	9	0	0	997.00	 
1911	10	3	12	0	0	996.00	 
1911	10	3	14	0	0	995.30	 
1911	10	3	15	0	0	994.80	 
1911	10	3	18	0	0	994.60	 
1911	10	3	21	0	0	995.20	 
1911	10	4	0	0	0	995.80	 
1911	10	4	3	0	0	995.50	 
1911	10	4	6	0	0	995.50	 
1911	10	4	9	0	0	995.50	 
1911	10	4	12	0	0	994.60	 
1911	10	4	14	0	0	994.20	 
1911	10	4	15	0	0	994.00	 
1911	10	4	18	0	0	994.30	 
1911	10	4	21	0	0	995.80	 
1911	10	5	0	0	0	996.00	 
1911	10	5	3	0	0	996.80	 
1911	10	5	6	0	0	997.40	 
1911	10	5	9	0	0	999.50	 
1911	10	5	12	0	0	999.50	 
1911	10	5	14	0	0	999.40	 
1911	10	5	15	0	0	998.70	 
1911	10	5	18	0	0	998.70	 
1911	10	5	21	0	0	999.50	 
1911	10	6	0	0	0	999.80	 
1911	10	6	3	0	0	1000.00	 
1911	10	6	6	0	0	1001.50	 
1911	10	6	9	0	0	1002.20	 
1911	10	6	12	0	0	1002.60	 
1911	10	6	14	0	0	1001.40	 
1911	10	6	15	0	0	1001.10	 
1911	10	6	18	0	0	1000.00	 
1911	10	6	21	0	0	998.70	 
1911	10	7	0	0	0	997.00	 
1911	10	7	3	0	0	995.00	 
1911	10	7	6	0	0	997.00	 
1911	10	7	9	0	0	998.80	 
1911	10	7	12	0	0	999.00	 
1911	10	7	14	0	0	998.90	 
1911	10	7	15	0	0	998.80	 
1911	10	7	18	0	0	999.90	 
1911	10	7	21	0	0	1001.40	 
1911	10	8	0	0	0	1001.80	 
1911	10	8	3	0	0	1002.40	 
1911	10	8	6	0	0	1002.80	 
1911	10	8	9	0	0	1003.00	 
1911	10	8	12	0	0	1002.60	 
1911	10	8	14	0	0	1001.00	 
1911	10	8	15	0	0	1000.70	 
1911	10	8	18	0	0	1000.30	 
1911	10	8	21	0	0	1001.50	 
1911	10	9	0	0	0	1001.50	 
1911	10	9	3	0	0	1001.20	 
1911	10	9	6	0	0	1000.40	 
1911	10	9	9	0	0	1001.20	 
1911	10	9	12	0	0	1001.00	 
1911	10	9	14	0	0	1000.60	 
1911	10	9	15	0	0	1000.20	 
1911	10	9	18	0	0	1001.40	 
1911	10	9	21	0	0	1003.00	 
1911	10	10	0	0	0	1005.00	 
1911	10	10	3	0	0	1005.50	 
1911	10	10	6	0	0	1008.60	 
1911	10	10	9	0	0	1011.00	 
1911	10	10	12	0	0	1011.90	 
1911	10	10	14	0	0	1012.20	 
1911	10	10	15	0	0	1012.20	 
1911	10	10	18	0	0	1013.50	 
1911	10	10	21	0	0	1013.90	 
1911	10	11	0	0	0	1013.80	 
1911	10	11	3	0	0	1013.50	 
1911	10	11	6	0	0	1013.40	 
1911	10	11	9	0	0	1014.20	 
1911	10	11	12	0	0	1013.10	 
1911	10	11	14	0	0	1011.90	 
1911	10	11	15	0	0	1011.50	 
1911	10	11	18	0	0	1011.00	 
1911	10	11	21	0	0	1011.00	 
1911	10	12	0	0	0	1011.00	 
1911	10	12	3	0	0	1010.00	 
1911	10	12	6	0	0	1009.50	 
1911	10	12	9	0	0	1009.50	 
1911	10	12	12	0	0	1008.30	 
1911	10	12	14	0	0	1007.30	 
1911	10	12	15	0	0	1007.00	 
1911	10	12	18	0	0	1005.80	 
1911	10	12	21	0	0	1005.40	 
1911	10	13	0	0	0	1005.10	 
1911	10	13	3	0	0	1004.00	 
1911	10	13	6	0	0	1003.50	 
1911	10	13	9	0	0	1003.40	 
1911	10	13	12	0	0	1002.20	 
1911	10	13	14	0	0	1001.10	 
1911	10	13	15	0	0	1001.00	 
1911	10	13	18	0	0	1000.20	 
1911	10	13	21	0	0	1000.30	 
1911	10	14	0	0	0	1000.20	 
1911	10	14	3	0	0	1000.70	 
1911	10	14	6	0	0	1001.00	 
1911	10	14	9	0	0	1001.20	 
1911	10	14	12	0	0	1001.00	 
1911	10	14	14	0	0	1000.20	 
1911	10	14	15	0	0	1000.30	 
1911	10	14	18	0	0	1001.40	 
1911	10	14	21	0	0	1002.80	 
1911	10	15	0	0	0	1003.00	 
1911	10	15	3	0	0	1003.10	 
1911	10	15	6	0	0	1004.00	 
1911	10	15	9	0	0	1005.00	 
1911	10	15	12	0	0	1004.70	 
1911	10	15	14	0	0	1004.30	 
1911	10	15	15	0	0	1004.30	 
1911	10	15	18	0	0	1004.30	 
1911	10	15	21	0	0	1004.60	 
1911	10	16	0	0	0	1004.30	 
1911	10	16	3	0	0	1004.60	 
1911	10	16	6	0	0	1005.10	 
1911	10	16	9	0	0	1005.50	 
1911	10	16	12	0	0	1005.20	 
1911	10	16	14	0	0	1004.30	 
1911	10	16	15	0	0	1004.30	 
1911	10	16	18	0	0	1004.20	 
1911	10	16	21	0	0	1004.40	 
1911	10	17	0	0	0	1004.30	 
1911	10	17	3	0	0	1004.30	 
1911	10	17	6	0	0	1004.00	 
1911	10	17	9	0	0	1004.70	 
1911	10	17	12	0	0	1003.90	 
1911	10	17	14	0	0	1002.90	 
1911	10	17	15	0	0	1002.70	 
1911	10	17	18	0	0	1003.60	 
1911	10	17	21	0	0	1004.30	 
1911	10	18	0	0	0	1004.20	 
1911	10	18	3	0	0	1004.00	 
1911	10	18	6	0	0	1004.70	 
1911	10	18	9	0	0	1005.00	 
1911	10	18	12	0	0	1004.80	 
1911	10	18	14	0	0	1003.90	 
1911	10	18	15	0	0	1003.90	 
1911	10	18	18	0	0	1003.80	 
1911	10	18	21	0	0	1004.20	 
1911	10	19	0	0	0	1004.30	 
1911	10	19	3	0	0	1004.30	 
1911	10	19	6	0	0	1005.00	 
1911	10	19	9	0	0	1004.80	 
1911	10	19	12	0	0	1003.80	 
1911	10	19	14	0	0	1003.30	 
1911	10	19	15	0	0	1003.40	 
1911	10	19	18	0	0	1003.80	 
1911	10	19	21	0	0	1004.80	 
1911	10	20	0	0	0	1004.80	 
1911	10	20	3	0	0	1004.40	 
1911	10	20	6	0	0	1004.00	 
1911	10	20	9	0	0	1005.00	 
1911	10	20	12	0	0	1004.70	 
1911	10	20	14	0	0	1003.90	 
1911	10	20	15	0	0	1003.80	 
1911	10	20	18	0	0	1003.40	 
1911	10	20	21	0	0	1003.80	 
1911	10	21	0	0	0	1003.20	 
1911	10	21	3	0	0	1002.00	 
1911	10	21	6	0	0	1000.70	 
1911	10	21	9	0	0	999.90	 
1911	10	21	12	0	0	997.40	 
1911	10	21	14	0	0	995.70	 
1911	10	21	15	0	0	994.70	 
1911	10	21	18	0	0	994.20	 
1911	10	21	21	0	0	992.00	 
1911	10	22	0	0	0	990.20	 
1911	10	22	3	0	0	988.70	 
1911	10	22	6	0	0	990.40	 
1911	10	22	9	0	0	990.40	 
1911	10	22	12	0	0	989.40	 
1911	10	22	14	0	0	989.00	 
1911	10	22	15	0	0	988.60	 
1911	10	22	18	0	0	988.30	 
1911	10	22	21	0	0	988.60	 
1911	10	23	0	0	0	989.80	 
1911	10	23	3	0	0	991.60	 
1911	10	23	6	0	0	993.00	 
1911	10	23	9	0	0	995.00	 
1911	10	23	12	0	0	995.90	 
1911	10	23	14	0	0	995.70	 
1911	10	23	15	0	0	995.60	 
1911	10	23	18	0	0	996.00	 
1911	10	23	21	0	0	997.00	 
1911	10	24	0	0	0	996.70	 
1911	10	24	3	0	0	996.30	 
1911	10	24	6	0	0	995.90	 
1911	10	24	9	0	0	996.80	 
1911	10	24	12	0	0	996.00	 
1911	10	24	14	0	0	996.10	 
1911	10	24	15	0	0	995.80	 
1911	10	24	18	0	0	994.60	 
1911	10	24	21	0	0	993.10	 
1911	10	25	0	0	0	991.40	 
1911	10	25	3	0	0	988.70	 
1911	10	25	6	0	0	986.00	 
1911	10	25	9	0	0	985.00	 
1911	10	25	12	0	0	982.30	 
1911	10	25	14	0	0	981.80	 
1911	10	25	15	0	0	982.40	 
1911	10	25	18	0	0	984.00	 
1911	10	25	21	0	0	985.20	 
1911	10	26	0	0	0	985.40	 
1911	10	26	3	0	0	986.20	 
1911	10	26	6	0	0	986.60	 
1911	10	26	9	0	0	987.90	 
1911	10	26	12	0	0	987.50	 
1911	10	26	14	0	0	986.70	 
1911	10	26	15	0	0	986.60	 
1911	10	26	18	0	0	985.40	 
1911	10	26	21	0	0	984.30	 
1911	10	27	0	0	0	983.80	 
1911	10	27	3	0	0	982.40	 
1911	10	27	6	0	0	981.10	 
1911	10	27	9	0	0	981.10	 
1911	10	27	12	0	0	981.20	 
1911	10	27	14	0	0	980.10	 
1911	10	27	15	0	0	980.20	 
1911	10	27	18	0	0	982.60	 
1911	10	27	21	0	0	983.20	 
1911	10	28	0	0	0	983.40	 
1911	10	28	3	0	0	983.40	 
1911	10	28	6	0	0	984.60	 
1911	10	28	9	0	0	986.30	 
1911	10	28	12	0	0	987.80	 
1911	10	28	14	0	0	988.20	 
1911	10	28	15	0	0	989.00	 
1911	10	28	18	0	0	991.40	 
1911	10	28	21	0	0	993.80	 
1911	10	29	0	0	0	995.10	 
1911	10	29	3	0	0	997.10	 
1911	10	29	6	0	0	999.60	 
1911	10	29	9	0	0	1003.10	 
1911	10	29	12	0	0	1005.60	 
1911	10	29	14	0	0	1007.10	 
1911	10	29	15	0	0	1008.00	 
1911	10	29	18	0	0	1010.30	 
1911	10	29	21	0	0	1012.60	 
1911	10	30	0	0	0	1013.80	 
1911	10	30	3	0	0	1013.60	 
1911	10	30	6	0	0	1013.50	 
1911	10	30	9	0	0	1013.50	 
1911	10	30	12	0	0	1011.80	 
1911	10	30	14	0	0	1009.90	 
1911	10	30	15	0	0	1009.50	 
1911	10	30	18	0	0	1008.70	 
1911	10	30	21	0	0	1007.90	 
1911	10	31	0	0	0	1006.60	 
1911	10	31	3	0	0	1006.60	 
1911	10	31	6	0	0	1005.90	 
1911	10	31	9	0	0	1006.00	 
1911	10	31	12	0	0	1005.20	 
1911	10	31	14	0	0	1004.30	 
1911	10	31	15	0	0	1004.20	 
1911	10	31	18	0	0	1005.10	 
1911	10	31	21	0	0	1005.40	 
1911	11	1	0	0	0	1005.90	 
1911	11	1	3	0	0	1006.40	 
1911	11	1	6	0	0	1006.70	 
1911	11	1	9	0	0	1007.80	 
1911	11	1	12	0	0	1007.60	 
1911	11	1	14	0	0	1007.10	 
1911	11	1	15	0	0	1007.10	 
1911	11	1	18	0	0	1007.80	 
1911	11	1	21	0	0	1008.30	 
1911	11	2	0	0	0	1008.00	 
1911	11	2	3	0	0	1007.50	 
1911	11	2	6	0	0	1006.40	 
1911	11	2	9	0	0	1006.30	 
1911	11	2	12	0	0	1005.10	 
1911	11	2	14	0	0	1003.90	 
1911	11	2	15	0	0	1003.60	 
1911	11	2	18	0	0	1003.60	 
1911	11	2	21	0	0	1004.00	 
1911	11	3	0	0	0	1004.00	 
1911	11	3	3	0	0	1005.00	 
1911	11	3	6	0	0	1005.90	 
1911	11	3	9	0	0	1007.50	 
1911	11	3	12	0	0	1007.60	 
1911	11	3	14	0	0	1006.90	 
1911	11	3	15	0	0	1006.80	 
1911	11	3	18	0	0	1006.40	 
1911	11	3	21	0	0	1006.20	 
1911	11	4	0	0	0	1005.90	 
1911	11	4	3	0	0	1004.60	 
1911	11	4	6	0	0	1005.20	 
1911	11	4	9	0	0	1006.60	 
1911	11	4	12	0	0	1006.60	 
1911	11	4	14	0	0	1006.10	 
1911	11	4	15	0	0	1005.50	 
1911	11	4	18	0	0	1005.60	 
1911	11	4	21	0	0	1005.20	 
1911	11	5	0	0	0	1004.20	 
1911	11	5	3	0	0	1002.20	 
1911	11	5	6	0	0	999.80	 
1911	11	5	9	0	0	998.40	 
1911	11	5	12	0	0	996.70	 
1911	11	5	14	0	0	995.00	 
1911	11	5	15	0	0	994.40	 
1911	11	5	18	0	0	994.40	 
1911	11	5	21	0	0	994.40	 
1911	11	6	0	0	0	997.20	 
1911	11	6	3	0	0	998.60	 
1911	11	6	6	0	0	999.90	 
1911	11	6	9	0	0	1001.20	 
1911	11	6	12	0	0	1001.50	 
1911	11	6	14	0	0	1001.40	 
1911	11	6	15	0	0	1002.20	 
1911	11	6	18	0	0	1003.50	 
1911	11	6	21	0	0	1004.40	 
1911	11	7	0	0	0	1005.20	 
1911	11	7	3	0	0	1005.50	 
1911	11	7	6	0	0	1006.60	 
1911	11	7	9	0	0	1007.60	 
1911	11	7	12	0	0	1007.00	 
1911	11	7	14	0	0	1006.20	 
1911	11	7	15	0	0	1006.00	 
1911	11	7	18	0	0	1006.00	 
1911	11	7	21	0	0	1006.40	 
1911	11	8	0	0	0	1006.00	 
1911	11	8	3	0	0	1004.80	 
1911	11	8	6	0	0	1004.00	 
1911	11	8	9	0	0	1003.50	 
1911	11	8	12	0	0	1001.00	 
1911	11	8	14	0	0	998.60	 
1911	11	8	15	0	0	997.90	 
1911	11	8	18	0	0	996.60	 
1911	11	8	21	0	0	995.00	 
1911	11	9	0	0	0	993.50	 
1911	11	9	3	0	0	992.40	 
1911	11	9	6	0	0	991.90	 
1911	11	9	9	0	0	991.20	 
1911	11	9	12	0	0	989.90	 
1911	11	9	14	0	0	989.70	 
1911	11	9	15	0	0	990.20	 
1911	11	9	18	0	0	991.80	 
1911	11	9	21	0	0	992.40	 
1911	11	10	0	0	0	994.20	 
1911	11	10	3	0	0	994.40	 
1911	11	10	6	0	0	994.70	 
1911	11	10	9	0	0	995.40	 
1911	11	10	12	0	0	995.90	 
1911	11	10	14	0	0	996.60	 
1911	11	10	15	0	0	996.70	 
1911	11	10	18	0	0	997.60	 
1911	11	10	21	0	0	998.60	 
1911	11	11	0	0	0	999.20	 
1911	11	11	3	0	0	999.60	 
1911	11	11	6	0	0	1000.30	 
1911	11	11	9	0	0	1001.20	 
1911	11	11	12	0	0	1000.80	 
1911	11	11	14	0	0	1000.60	 
1911	11	11	15	0	0	1001.00	 
1911	11	11	18	0	0	1001.10	 
1911	11	11	21	0	0	1000.60	 
1911	11	12	0	0	0	999.20	 
1911	11	12	3	0	0	997.00	 
1911	11	12	6	0	0	995.40	 
1911	11	12	9	0	0	995.00	 
1911	11	12	12	0	0	994.00	 
1911	11	12	14	0	0	993.80	 
1911	11	12	15	0	0	993.80	 
1911	11	12	18	0	0	995.00	 
1911	11	12	21	0	0	995.50	 
1911	11	13	0	0	0	995.90	 
1911	11	13	3	0	0	996.70	 
1911	11	13	6	0	0	998.20	 
1911	11	13	9	0	0	1000.00	 
1911	11	13	12	0	0	1002.30	 
1911	11	13	14	0	0	1003.40	 
1911	11	13	15	0	0	1004.40	 
1911	11	13	18	0	0	1007.10	 
1911	11	13	21	0	0	1010.70	 
1911	11	14	0	0	0	1012.60	 
1911	11	14	3	0	0	1013.60	 
1911	11	14	6	0	0	1014.70	 
1911	11	14	9	0	0	1015.90	 
1911	11	14	12	0	0	1015.20	 
1911	11	14	14	0	0	1014.60	 
1911	11	14	15	0	0	1014.60	 
1911	11	14	18	0	0	1014.70	 
1911	11	14	21	0	0	1013.40	 
1911	11	15	0	0	0	1012.00	 
